state,median_income,piped_water,electricity,schools_per_10000,wellbeing_score,population,district_count
Johor,6020.0,98.2,100.0,24.9,54.8,4028.3,10
Kedah,4281.0,99.6,100.0,25.8,47.6,2163.0,12
Kelantan,3339.0,72.9,100.0,21.6,36.0,1830.6,11
Melaka,6021.0,100.0,100.0,23.2,54.9,1008.5,3
Negeri Sembilan,4399.0,99.3,100.0,37.8,50.1,1207.9,7
Pahang,4434.0,97.0,99.2,33.2,48.7,1614.3999999999999,11
Perak,4254.0,98.9,100.0,43.1,50.3,2514.7,13
Perlis,4713.0,100.0,100.0,15.4,47.9,289.8,1
Pulau Pinang,6503.0,97.9,99.9,15.3,55.2,1741.0,5
Sabah,4121.0,82.2,98.1,37.5,44.0,3414.7,27
Sarawak,3983.0,76.8,94.8,149.7,47.3,2473.5,40
Selangor,9196.0,99.2,100.0,9.8,67.3,7050.3,9
Terengganu,5724.0,99.2,100.0,31.6,55.5,1186.6,8
W.P. Kuala Lumpur,10234.0,100.0,100.0,,,1961.2,1
W.P. Labuan,6904.0,,,,,96.9,1
W.P. Putrajaya,10056.0,,,,,117.0,1
